2021-06-05 16:31:29 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:29 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 29/32)
2021-06-05 16:31:29 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:29 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 107/32, 16/32)
2021-06-05 16:31:29 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:29 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 108/32, 16/32)
2021-06-05 16:31:29 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:30 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 97/32, 22/32)
2021-06-05 16:31:30 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:30 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 98/32, 22/32)
2021-06-05 16:31:30 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:30 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 97/32, 22/32)
2021-06-05 16:31:30 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:30 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 98/32, 23/32)
2021-06-05 16:31:30 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:30 - TextLog: VERBOSE: Rangecheck failed for Niki (4202, 448) (rg: 100/32, 23/32)
2021-06-05 16:31:30 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:31 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 90/32, 30/32)
2021-06-05 16:31:31 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:31 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 90/32, 30/32)
2021-06-05 16:31:31 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:31 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 90/32, 30/32)
2021-06-05 16:31:31 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:31 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 104/32, 16/32)
2021-06-05 16:31:31 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:31 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 104/32, 16/32)
